name,stars,text,timeSince,openStatus,key
Lucy Dimova,1.0,"Majority of the staff and the manager are extremely RUDE!!! They make people wait at the register while discussing personal 'Dramas'. No Hello,No Welcome To, not even 'what can I get for you'. It's a nasty 'Yes' with such pain in their voice and soul! And the place is DIRTY!!!  Disgusting",a year ago,Open,1000968819
Kathleen Gratacos,5.0,The service was great and the food was delicious!,a year ago,Open,1000968819
Josiah Servilio,3.0,"Clean. Food is expensive. Games are decently priced, but old, and poor condition",a year ago,Open,1000968819
Jay,5.0,Super friendly staff lots of fun for the family and of course delicious pizza.,a year ago,Open,1000968819
Alex E Durmaz,3.0,Poor maintenance on many of the games and devices. Ticket dispensers are inconsistent most of the time. Half of the ticket counters are out-of-service and there is always an unnecessary line. I think they need a better management here for sure.,a year ago,Open,1000968819
Amanda Bear,5.0,"Less people
Cleaner then the ones I’ve been to",10 months ago,Open,1000968819
Myra Oconnor,4.0,"I come here occasionally and its great service. Especially from the curly red head Jay, she’s ALWAYS in the brightest mood, great personality, very helpful. Other than a few broken games it’s a good family oriented place.",3 years ago,Open,1000968819
Jerod Johnson,4.0,Great place for the kids. Food was ok. Great staff and the games were good. Affordable I found it hilarious how Chuckie throw tickets every where like he was a big baller at the club lol. Pure adult comedy.,a year ago,Open,1000968819
teresa rhinesmith,5.0,"Very clean , staff is very friendly and helpful.",a year ago,Open,1000968819
Renet Gerges,5.0,Staff are super nice and helpful! Manager is extremely understandable and flexible!very clean and friendly place. 100% recommended to every family. Enjoy yr visit there!,3 years ago,Open,1000968819
Janusz Sowinski,5.0,Have not been to one in years but it still is a great place for kids to get away on hot days.,a year ago,Open,1000968819
Dayana Cafa,4.0,it was slow today in the afternoon. it was clean and my daughter was able to play all the games,a year ago,Open,1000968819
Peter Mendoza,3.0,"Wonderful watching all the kids having fun.
But WATCH your money. I ordered breadsticks and a soda. A man who looked like a manager said. "" Anything ELSE?"" …More",2 years ago,Open,1000968819
Ashley EarthAngel,1.0,"I went to ordered a cake for my daughter's birthday, asked for it to say happy birthday and they said no icing. OK! Maybe it was a lie. A bunch of teenagers working there, have no respect at all. This guy brings wings to our table and just …More",2 years ago,Open,1000968819
robin pollard,5.0,Had a wonderful time wasnt pleased with my pizza rushed job and partially burnt,a year ago,Open,1000968819
Thomas M Schwalenberg,5.0,"My family had a blast.  Pizza could have
been hotter.  Games were enjoyed by all.  Great time",3 years ago,Open,1000968819
Osia Knowles,1.0,I brought my 7 year old for a birthday party. He skinned his knee. There was absolutely no one to help. I asked the guy at the door to help. He gave me a band aid and told me to ask the overworked restaurant  cashier who had a line 6 …More,2 years ago,Open,1000968819
Sarah Marshall,5.0,"I really liked it, and there are many fun games. They also have a sky crawl for kids. Also, there is an animatronic band. It is a great place to take the kids. 🐭",3 years ago,Open,1000968819
Anthony Estrella,4.0,Definitely the nicer Chuck E Cheese in the area. My only problem was the waiting. It felt as if they were understaffed and the place was not at all packed when I went. Overall good time for the family.,2 years ago,Open,1000968819
Rose Williams,5.0,Had a great time with my niece.,a year ago,Open,1000968819
Danielle Compton,5.0,"It was great for the kids, plenty of  games, and good pizza.",a year ago,Open,1000968819
